ID,Title,Milestone,Feature Group,Status,Effort,Priority
F12.1,Savings Ticker,M7,F11 - Financial,Planned,E2,P1
F12.2,Wreckage List,M7,F11 - Financial,Planned,E2,P1
F12.7,Sponsee CRM,M7,F11 - Financial,Planned,E2,P1
F12.8,Speakers Outline,M7,F11 - Financial,Planned,E2,P1
M8-F1,Speaker Library,M8,F1,Planned,E3,P2
M8-F2,Personal Recording,M8,F2,Planned,E3,P2
M8-F3,Audio Player,M8,F3,Planned,E2,P2
T8.1,Capacitor wrapper (CRITICAL),M9,F1 - Native Security,Planned,E3,P0
T8.4,Native biometrics (Face ID/Touch ID),M9,F1 - Native Security,Planned,E2,P0
T8.5,Native secure storage,M9,F1 - Native Security,Planned,E2,P0
T4.10,Biometric unlock,M9,F1 - Deferred Native,Planned,E2,P1
F4.4,Stealth Mode,M9,F1 - Deferred Native,Planned,E2,P1
F5.4b,Gratitude widget/shake,M9,F1 - Deferred Native,Planned,E2,P1
F5.9b,Voice tone analysis,M9,F1 - Deferred Native,Planned,E3,P2
F9.9,Nashville Sound,M9,F1 - Deferred Native,Planned,E2,P2
F9.11,Drive Time Companion,M9,F1 - Deferred Native,Planned,E3,P2
F12.4,Stress Monitor,M9,F2 - Native Health,Planned,E2,P2
F12.5,Sleep Truth,M9,F2 - Native Health,Planned,E2,P2
F12.6,Movement as Medicine,M9,F2 - Native Health,Planned,E2,P2
F11.1,SoNash Beacon,M9,F3 - Native Engagement,Planned,E3,P2
T9.1,Push notifications,M9,F3 - Native Engagement,Planned,E2,P1
M9-TBD,Additional native engagement features,M9,F3 - Native Engagement,Planned,E3,P3
M10-MODEL-1,Premium Features (Ethical Freemium),M10,Viable Options,Research,E3,P2
M10-MODEL-2,Donation Model,M10,Viable Options,Research,E2,P2
M10-MODEL-3,B2B Licensing,M10,Viable Options,Research,E3,P2
M10-MODEL-4,Hybrid Approach (Recommended),M10,Viable Options,Research,E3,P1
F4.11,Shoulder Surf Blur,M10,Deferred,Research,E2,P3
T3.14,Queue compaction,M10,Deferred,Research,E2,P3
F11.2,Reclaiming City map,M10,Deferred,Research,E3,P3
F11.3,Digital Coffee Table,M10,Deferred,Research,E3,P3
F11.4,Warm Handoff B2B,M10,Deferred,Research,E3,P3
F11.5,The Mirror AI companion,M10,Deferred,Research,E3,P3
F11.7,Family Bridge,M10,Deferred,Research,E3,P3
F11.9,Service Exchange,M10,Deferred,Research,E3,P3
DW-001,Split-screen views,Desktop/Web,Multi-Panel Layout,Planned,E2,P2
DW-002,Dashboard mode (4-panel grid),Desktop/Web,Multi-Panel Layout,Planned,E2,P2
DW-003,Resizable panels,Desktop/Web,Multi-Panel Layout,Planned,E2,P2
DW-004,Keyboard shortcuts (basic),Desktop/Web,Multi-Panel Layout,Planned,E1,P2
DW-005,Mood heat map (calendar view),Desktop/Web,Advanced Visualizations,Planned,E2,P2
DW-006,Correlation matrix,Desktop/Web,Advanced Visualizations,Planned,E3,P2
DW-007,Trend lines (multiple metrics),Desktop/Web,Advanced Visualizations,Planned,E2,P2
DW-008,Word clouds from journal,Desktop/Web,Advanced Visualizations,Planned,E2,P2
DW-009,Export charts as PNG/SVG,Desktop/Web,Advanced Visualizations,Planned,E1,P2
DW-010,J/K Navigate timeline,Desktop/Web,Keyboard Shortcuts,Planned,E1,P2
DW-011,Vim-style navigation,Desktop/Web,Keyboard Shortcuts,Planned,E2,P3
DW-012,CSV/JSON/PDF export,Desktop/Web,Export & Backup,Planned,E2,P2
DW-013,Automated cloud backup,Desktop/Web,Export & Backup,Planned,E2,P2
DW-014,Sponsor report generation,Desktop/Web,Export & Backup,Planned,E2,P2
DW-015,Full-text search,Desktop/Web,Search & Filter,Planned,E2,P1
DW-016,Advanced filters,Desktop/Web,Search & Filter,Planned,E2,P2
DW-017,Admin Panel mobile-friendly layout,Desktop/Web,Mobile Responsiveness,Planned,E2,P2
DW-018,On-call admin scenarios support,Desktop/Web,Mobile Responsiveness,Planned,E2,P2
PT-001,Session Activity Monitor,Process,Development Dashboard,Planned,E1,P1
PT-002,Error & Tracing Viewer,Process,Development Dashboard,Planned,E2,P1
PT-003,Override Audit Trail,Process,Development Dashboard,Planned,E1,P2
PT-004,Document Sync Status,Process,Development Dashboard,Planned,E1,P1
PT-005,Cross-Document Dependency Map,Process,Cross-Document,Complete,E0,P1
PT-006,Pre-Commit Hook Integration,Process,Doc Automation,Planned,E1,P3
PT-007,Pre-Push Hook Integration,Process,Doc Automation,Planned,E1,P2
PT-008,CI/CD Integration for doc sync,Process,Doc Automation,Planned,E1,P1
FD-001,Recovery Library,Feature Decisions,Decisions,Approved,E2,P0
FD-002,HALT Check,Feature Decisions,Decisions,Approved,E1,P1
FD-003,God Box,Feature Decisions,Decisions,Deferred,E1,P3
FD-004,Complacency Detector,Feature Decisions,Decisions,Needs Review,E2,P2
FD-005,Tone Settings,Feature Decisions,Decisions,Needs Review,E1,P1
FD-006,Multiple Sobriety Dates,Feature Decisions,Decisions,Needs Review,E2,P2
FD-007,Principle-Based Badges,Feature Decisions,Decisions,Approved,E2,P2
